t_event,osc_idx,bub_id,event_type,radius,cutoff_tau,weight,peak_accel
2.7775,696,17981,S,0.00846085,0.00141014167,-5352.34458,0.00200953844
2.85611,696,18889,S,0.00795805,0.00132634167,-6050.11147,0.00184368346
2.86333,696,18966,M,0.00802155,0,0,0.00152617246
2.7775,697,17983,N,0.00341392,0.000568986667,-32883.2009,0.00195076763
2.78222,698,18010,S,0.00428127,0.000713545,-20907.3318,0.00195520237
2.78333,699,18029,N,0.00424068,0.00070678,-21309.5478,0.00195639477
2.78389,700,18033,S,0.00383421,0.000639035,-26068.0773,0.00195280606
2.785,701,18041,S,0.00390797,0.000651328333,-25093.156,0.00195840542
2.785,702,18046,N,0.00310175,0.000516958333,-39836.8988,0.00194401778
2.785,703,18047,N,0.00359392,0.000598986667,-29671.1807,0.0019599037
2.78778,704,18058,S,0.0037575,0.00062625,-27143.5174,0.00197727807
2.79944,705,18184,N,0.00458134,0.000763556667,-18257.8352,0.00195900235
2.79972,706,18188,N,0.00404765,0.000674608333,-23390.8676,0.00195961422
2.80222,707,18233,S,0.00367754,0.000612923333,-28336.9362,0.00195091949
2.80222,708,18234,S,0.00492373,0.000820621667,-15806.5259,0.00196742089
2.8025,709,18239,S,0.0087301,0,0,0
2.84111,709,18746,M,0.00899735,0,0,0
2.855,709,18881,M,0.008701,0,0,0
2.8025,710,18241,S,0.00452806,0.000754676667,-18690.0981,0.00196097982
2.80278,711,18245,S,0.00548125,0,0,1.84564535e-08
2.95806,711,19989,S,0.0046505,0.000775083333,-17718.7472,0.00196126628
2.96333,711,20081,S,0.00470105,0,0,0.00154562156
2.80306,712,18248,S,0.00341392,0.000568986667,-32883.2009,0.00194961825
2.80444,713,18273,S,0.005197,0.000866166667,-14187.7265,0.00195982828
2.805,714,18281,N,0.00383421,0.000639035,-26068.0773,0.00195402091
2.805,715,18282,N,0.00341392,0.000568986667,-32883.2009,0.00195222061
2.80944,716,18348,N,0.0046505,0.000775083333,-17718.7472,0.00195592711
2.81167,717,18374,S,0.00341392,0.000568986667,-32883.2009,0.00195398488
2.81167,718,18376,S,0.00732775,0.00122129167,-7135.79131,0.00200042525
2.81167,719,18380,N,0.00341392,0.000568986667,-32883.2009,0.00195255586
2.81389,720,18409,S,0.00544425,0,0,0
2.81417,721,18417,N,0.00341392,0.000568986667,-32883.2009,0.00195451102
2.81611,722,18431,S,0.00341392,0.000568986667,-32883.2009,0.00195519384
2.82056,723,18480,N,0.00367754,0.000612923333,-28336.9362,0.00195191177
2.82333,724,18521,N,0.00341392,0.000568986667,-32883.2009,0.00194857843
2.82639,725,18553,N,0.00341392,0.000568986667,-32883.2009,0.00194579099
2.82694,726,18560,N,0.00402503,0.000670838333,-23654.559,0.00195625013
2.82972,727,18598,N,0.00341392,0.000568986667,-32883.2009,0.0019505642
2.83056,728,18607,S,0.00417831,0.000696385,-21950.5856,0.00195306567
2.83139,729,18619,S,0.00367754,0,0,0
2.83194,730,18631,S,0.00310175,0.000516958333,-39836.8988,0.00193951399
2.83361,731,18649,S,0.00390797,0.000651328333,-25093.156,0.0019568208
2.83444,732,18665,N,0.00385911,0.000643185,-25732.7042,0.0019878919
2.84167,733,18749,S,0.00434074,0.000723456667,-20338.2841,0.00197642961
2.84306,734,18761,S,0.00445501,0.000742501667,-19308.1567,0.00196077387
2.845,735,18776,N,0.00341392,0.000568986667,-32883.2009,0.00195077615
2.84722,736,18801,S,0.00404765,0.000674608333,-23390.8676,0.0019583235
2.85167,737,18838,S,0.00402503,0.000670838333,-23654.559,0.00195082582
2.85444,738,18866,S,0.00853735,0.00142289167,-5256.84564,0.00199805529
2.87472,738,19078,M,0.00898365,0.00119076202,9661.50813,0.00238456174
2.88722,738,19196,S,0.00866185,0,0,0.00169421448
2.89028,738,19231,S,0.0087686,0,0,0.00156182634
2.91278,738,19449,S,0.00877335,0,0,0.000892201185
2.92833,738,19616,S,0.00880675,0,0,0.000594623683
2.93917,738,19726,S,0.0088257,0,0,0.000467984537
2.85611,739,18890,S,0.00526435,0.000877391667,-13826.9757,0.00198584296
2.96111,739,20036,S,0.00454596,0.00075766,-18543.178,0.00192708236
3.47028,739,25622,M,0.00572755,0.000954591667,23771.2581,0.00411487247
3.47472,739,25661,S,0.0044735,0.000745583333,-19148.851,0.00316042963
2.85611,740,18892,S,0.00411402,0.00068567,-22642.1132,0.00197407335
2.85694,741,18905,N,0.00310175,0.000516958333,-39836.8988,0.00193910488
2.85833,742,18923,M,0.0110447,0,0,5.82406661e-08
2.86472,742,18976,S,0.00959805,0.001599675,-4159.0805,0.00192758666
2.86028,743,18936,N,0.00367754,0.000612923333,-28336.9362,0.00195008106
2.86111,744,18944,M,0.0121104,0,0,0
2.86639,744,18989,M,0.0117185,0,0,0
2.875,744,19080,S,0.0116212,0,0,2.39276405e-08
2.88889,744,19220,M,0.0135941,0.00226568333,4219.16159,0.00424245815
2.90028,744,19310,M,0.0143149,0.00238581667,3804.94284,0.00294730363
2.90667,744,19386,M,0.0142535,0,0,0.00104327247
2.94444,744,19782,S,0.013526,0.00225433333,-2094.14018,0.00211651149
2.95833,744,19997,M,0.0157649,0,0,0.00152470649
2.98611,744,20374,M,0.0139382,0,0,0.000978084733
3,744,20593,M,0.0141309,0.00235515,3904.68221,0.00446531155
